name,in_tuebingen,independent,current_title_verbatim,current_institution,moved_to_city,evidence_url,retrieved,confidence,notes
Frank Hutter,secondary,yes,"PI (Principal Investigator); per ELLIS news coverage, ""Hector Endowed Fellow and Principal Investigator"" (Tübingen); primary post: Full Professor for Machine Learning (Freiburg)","ELLIS Institute Tübingen (secondary); University of Freiburg, Dept. of Computer Science (primary, since 2016); Director, ELLIS Unit Freiburg",Freiburg,https://institut-tue.ellis.eu/en/people/fh,2026-08-06,high,Legitimate cross-appointment. Tenured Freiburg chair is the primary post; ELLIS Institute Tübingen PI/fellow role is secondary but real and current.
Shiwei Liu 0003,yes,yes,"Research Group Leader (MPI-IS people page); PI, ""Wild, Efficient, and Innovative AI"" group (ELLIS Institute Tübingen people page)","Max Planck Institute for Intelligent Systems, Tübingen campus; ELLIS Institute Tübingen",,https://institut-tue.ellis.eu/en/people/sliu ; https://www.is.mpg.de/person/sliu,2026-08-06,high,"Oxford (Newton Int'l Fellow) and UT Austin (postdoc) are past roles, explicitly marked prior on the ELLIS page. MPI-IS page gives a Tübingen office address (Brunnenstrasse 30, 72074 Tübingen)."
Hilde Kuehne,yes,yes,"Prof. Dr. Hilde Kühne (kooptiert), Multimodal Learning (Univ. Tübingen Arbeitsgruppen page); ""Professor, Multi-modal Learning, University of Tübingen"" (Tübingen AI Center people page)",University of Tübingen (Tübingen AI Center),,https://tuebingen.ai/people ; https://hildekuehne.github.io/about.html,2026-08-06,high,"DBLP's Bonn + Fraunhofer FKIE affiliation is stale; her own page frames Bonn as a past role (""Before, I was...""). Also holds an affiliated professorship at MIT-IBM Watson AI Lab (secondary)."
Moritz Hardt,yes,yes,"Director, Max Planck Institute for Intelligent Systems (Managing Director, Social Foundations of Computation department); Honorary Professor, University of Tübingen","Max Planck Institute for Intelligent Systems, Tübingen campus",,https://www.mrtz.org,2026-08-06,high,"Home page address Max-Planck-Ring 4, 72076 Tübingen confirms the Tübingen (not Stuttgart) campus. University of Tübingen listing is an honorary professorship (secondary); counts as an institute PI."
Dmitry Kobak,no,yes,"Professor (Dept. of Mathematics, Computer Science, and Statistics); Group leader, VIB Center for AI & Computational Biology (VIB.AI)",Ghent University / VIB Center for AI & Computational Biology (VIB.AI),Ghent,https://kobaklab.sites.vib.be/en,2026-08-06,high,"Formerly Group Leader, Dept. of Data Science, Hertie Institute for AI in Brain Health, Univ. Tübingen (not one of the collected directories, explaining the miss). Moved to Ghent ~April 2026 per his own homepage (""Moved to Ghent and started my lab!"", updated 2026-05-13)."
Roland S. Zimmermann,no,no,Senior Research Scientist,Google DeepMind (AGI Safety & Alignment team),unclear (LinkedIn locale suggests possibly Zurich; not stated explicitly),https://www.linkedin.com/in/roland-zimmermann-0a014314a/,2026-08-06,medium,"Not on ELLIS Institute Tübingen's 13-person people page. Personal homepage rzimmermann.com re-checked 2026-08: still stale, describing him only as a Tübingen PhD student under Wieland Brendel. No own group; individual contributor at DeepMind."
Mijung Park,no,yes,Assistant Professor,"University of British Columbia, Department of Computer Science",Vancouver,https://www.cs.ubc.ca/~mijungp/,2026-08-06,high,"Formerly Research Group Leader, MPI-IS / Univ. Tübingen (2017-2021), explaining DBLP's Tübingen affiliation. Moved to UBC July 2021; leads own ParkLab group. A concurrent Associate Professor appointment at DTU (2023-2024) appears to have ended."
Zehao Yu 0002,no,unclear,"PhD student (own homepage, stale, last updated ~2024); listed under ""Past PhD Students"" (alumnus) on the official Autonomous Vision Group team page","unconfirmed (last known: University of Tübingen, Autonomous Vision Group, now alumnus)",unclear,https://uni-tuebingen.de/en/fakultaeten/mathematisch-naturwissenschaftliche-fakultaet/fachbereiche/informatik/lehrstuehle/autonomous-vision/team/ ; https://niujinshuchong.github.io/,2026-08-06,low,"AVG's own team page lists him as an alumnus, so his PhD post has ended, but no new employer could be found on his homepage, DBLP, or Scholar (no 2025/2026 publications). True Aug-2026 status is an open question."
Yong Cao 0001,yes,no,"Group Leader, NLP (Univ. Tübingen Autonomous Vision Group team page, under ""Senior Staff and Research Engineers""); own homepage: ""a postdoctoral researcher at the Autonomous Vision Group (AVG), University of Tübingen, supervised by Prof. Andreas Geiger""","University of Tübingen, Autonomous Vision Group (chair: Prof. Andreas Geiger)",,https://uni-tuebingen.de/en/fakultaeten/mathematisch-naturwissenschaftliche-fakultaet/fachbereiche/informatik/lehrstuehle/autonomous-vision/team/,2026-08-06,high,"Same pattern as colleague Wenjing Bian ('Group Leader / 3D Vision'): the team page's 'Group Leader' title names an internal sub-team lead inside Geiger's chair, not an independent PI. His own page and titles.csv (Wissenschaftlicher Mitarbeiter) agree he is a postdoc."
Andreas Ziegler 0006,no,no,"PhD Candidate, University of Tübingen (2021.06-2025.11 per CV; salaried post ended); PhD defended 2026-01-23, thesis ""Event-based Computer Vision for Fast Robot Control""; CV: ""actively looking for PostDoc positions, ideally outside mainland Europe""",none currently held; last post University of Tübingen (Autonomous Vision Group / Chair of Andreas Zell),"unclear (job-seeking; personal contact address Stäfa, Switzerland, no confirmed new employer)",https://andreasaziegler.github.io/pdfs/AndreasZiegler_long.pdf ; https://andreasaziegler.github.io/,2026-08-06,medium,"Homepage re-checked 2026-08: still no employer listed post-defense. Was a lab member under Zell/Geiger/Martius/Gallego, not an independent group leader, so independent=no regardless of the open question of where he is now."
Frank Schneider 0001,yes,no,"Postdoctoral researcher at the University of Tübingen in the Methods of Machine Learning group, led by Philipp Hennig; also chair of the Algorithms working group at MLCommons","University of Tübingen, Methods of Machine Learning group (PI: Philipp Hennig)",,https://fsschneider.github.io/,2026-08-06,high,"MLCommons Algorithms working group chair is a community/consortium leadership role, not an independent academic group; remains a postdoc under Hennig."
