name,core_papers,sources,dblp_current,status,reason_code,reason
Bernhard Schölkopf,172,de-ellis-inst-tue;de-ellis-institute-tue;de-mpi-is-tue;de-tue-ai-center,"Max Planck Institute for Intelligent Systems, Tübingen, Germany",include,,on an institution directory here
Kun Zhang 0001,139,,"Carnegie Mellon University, Department of Philosophy, Pittsburgh, PA, USA|Max Planck Institute for Intelligent Systems, ",exclude,E08,DBLP's primary current affiliation is Carnegie Mellon University; on none of the local directories
Jan Peters 0001,99,,"TU Darmstadt, Department of Computer Science, Germany|Max Planck Institute for Intelligent Systems, Tübingen, Germany|Ma",exclude,E08,CSRankings files them at TU Darmstadt (de)
Michael J. Black,97,de-ellis-inst-tue,"Max Planck Institute for Intelligent Systems Tuebingen, Germany",include,,on an institution directory here
Andreas Geiger 0001,75,de-ellis-inst-tue;de-tue-ai-center;csrankings,"Max Planck Institute for Intelligent Systems, Tübingen, Germany|University of Tübingen, Department of Computer Science, ",include,,on an institution directory here
Zeynep Akata,75,,"Technical University of Munich, Germany",exclude,E08,CSRankings files them at TU Munich (de)
Frank Hutter,74,de-ellis-institute-tue,,queue,,"on a local directory, but DBLP's current affiliation is University of Freiburg"
Sebastian A. Scherer,72,,"Carnegie Mellon University, Pittsburgh, USA",exclude,E08,DBLP labels the affiliation former
Stefanie Jegelka,58,,"TU Munich, Germany|Massachusetts Institute of Technology (MIT), CSAIL, Cambridge, MA, USA|University of California, Berk",exclude,E08,CSRankings files them at TU Munich (de)
Francesco Locatello,55,,"Institute of Science and Technology Austria, Klosterneuburg, Austria",exclude,E08,CSRankings files them at IST Austria (at)
Shiwei Liu 0003,48,de-ellis-institute-tue;de-mpi-is-tue;de-tue-ai-center,,queue,,"on a local directory, but DBLP's current affiliation is University of Oxford"
Georg Martius,48,de-tue-ai-center;csrankings,,include,,on an institution directory here; no corroborating DBLP affiliation note
Philipp Hennig,46,de-ellis-inst-tue;de-tue-ai-center;csrankings,"University of Tübingen, Department of Computer Science, Germany|Max Planck Institute for Intelligent Systems, Tübingen, ",include,,on an institution directory here
Thomas Hofmann 0001,45,,"ETH Zurich, Switzerland|Google, Zurich, Switzerland|Technical University of Darmstadt, Germany|Brown University, Provide",exclude,E08,CSRankings files them at ETH Zurich (ch)
Hilde Kuehne,43,csrankings;csrankings;csrankings,,queue,,"on a local directory, but DBLP's current affiliation is University of Bonn"
