name,core_papers,sources,dblp_current,status,reason_code,reason
Bernt Schiele,103,de-mpi-inf;de-saarland-university,,queue,,"on a local directory, but DBLP's current affiliation is Max Planck Institute for Informatics"
Christian Theobalt,95,de-mpi-inf;de-saarland-university,"Max Planck Institute for Informatics, Saarbrücken, Germany",include,,on an institution directory here
Jan Kautz,89,,"NVIDIA Corp., Santa Clara, CA, USA|Saarland University, Saarbrücken, Germany",exclude,E08,DBLP's primary current affiliation is NVIDIA Corp.; on none of the local directories
Dietrich Klakow,46,de-saarland-university;csrankings,"Saarland University, Saarbrücken, Germany",include,,on an institution directory here
Vladislav Golyanik,43,de-mpi-inf,"Max Planck Institute for Informatics, Saarbrücken, Germany",include,,on an institution directory here
Adam Kortylewski,41,de-cispa-helmholtz-center;de-mpi-inf;csrankings,"University of Freiburg, Germany|Max Planck Institut for Informatics, Saarbrücken, Germany",include,,on an institution directory here
Sebastian U. Stich,41,de-cispa-helmholtz-center;csrankings;csrankings,,include,,on an institution directory here; no corroborating DBLP affiliation note
Mario Fritz,39,de-cispa-helmholtz-center;csrankings,"CISPA Helmholtz Center for Information Security, Saarland Informatics Campus, Germany",include,,on an institution directory here
Thomas Brox,39,,"University of Freiburg, Department of Computer Science, Germany",exclude,E08,CSRankings files them at University of Freiburg (de)
Juergen Gall,37,,"ETH Zurich, Computer Vision Laboratory, Switzerland|Max Planck Institute for Informatics, Saarbrücken, Germany",exclude,E08,CSRankings files them at University of Bonn (de)
Adish Singla,35,de-mpi-sws,,queue,,"on a local directory, but DBLP's current affiliation is Max Planck Institute for Software Systems"
Margret Keuper,34,de-mpi-inf,"Mannheim University, Germany",queue,,"on a local directory, but DBLP's current affiliation is Mannheim University"
Li Jiang 0009,34,,"Chinese University of Hong Kong-Shenzhen (CUHK-SZ), Shenzhen, China|Max Planck Institute for Informatics, Saarbrücken, G",exclude,E08,DBLP's primary current affiliation is Chinese University of Hong Kong-Shenzhen (CUHK-SZ); on none of the local directories
Ivan Titov 0001,34,,"University of Amsterdam, The Netherlands|University of Edinburgh, UK",exclude,E08,CSRankings files them at University of Edinburgh (gb)
Matthias Hein 0001,33,,"Max Planck Institute for Intelligent Systems, Tübingen, Germany|Faculty of Mathematics and Computer Science, Saarland Un",exclude,E08,CSRankings files them at University of Tübingen (de)
Jilles Vreeken,29,de-cispa-helmholtz-center;csrankings,"CISPA Helmholtz Center for Information Security, Saarbrücken, Germany|Saarland University, Saarbrücken, Germany",include,,on an institution directory here
Gerard Pons-Moll,29,de-mpi-inf,,include,,on an institution directory here; no corroborating DBLP affiliation note
Adam Dziedzic,28,de-cispa-helmholtz-center;csrankings,,include,,on an institution directory here; no corroborating DBLP affiliation note
Michael Backes 0001,28,de-cispa-helmholtz-center;de-saarland-university;csrankings,"CISPA Helmholtz Center for Information Security, Saarbrücken, Germany|Saarland University, Computer Science Department, ",include,,on an institution directory here
Xiaoyu Shen 0001,27,,"Eastern Institute of Technology, Ningbo",exclude,E08,DBLP labels the affiliation former
Goran Radanovic,26,de-mpi-sws,"Max Planck Institute for Software Systems, Saarbrücken, Germany",include,,on an institution directory here
Anil Vullikanti,26,,"Virginia Tech, Biocomplexity Institute, Blacksburg, VA, USA|Los Alamos National Laboratory, NM, USA|Max Planck Institute",exclude,E08,DBLP's primary current affiliation is Virginia Tech; on none of the local directories
Yang Zhang 0016,25,csrankings,"CISPA, Helmholtz Center for Information Security, Saarbrücken, Germany|Saarland University, Saarland Informatics Campus,",include,,on an institution directory here
Benjamin Doerr,25,,"École Polytechnique de Paris, Computer Science Laboratory (LIX), France|Saarland University, Department of Computer Scie",exclude,E08,DBLP's primary current affiliation is École Polytechnique de Paris; on none of the local directories
Marc Habermann,25,de-mpi-inf,,include,,on an institution directory here; no corroborating DBLP affiliation note
Anna Rohrbach,24,,"TU Darmstadt, Germany",exclude,E08,CSRankings files them at TU Darmstadt (de)
Franziska Boenisch,24,de-cispa-helmholtz-center;csrankings,,queue,,"on a local directory, but DBLP's current affiliation is CISPA Helmholtz Center for Information Security"
Vera Demberg,24,de-mpi-inf;de-saarland-university;csrankings;csrankings,"Saarland University, Cluster of Excellence Multimodal Computing and Interaction, Saarbrücken, Germany",include,,on an institution directory here
Krikamol Muandet,22,de-cispa-helmholtz-center;csrankings,"CISPA, Saarbrücken, Germany",include,,on an institution directory here
Jan Eric Lenssen,22,de-mpi-inf;de-saarland-university,"Max Planck Institute for Informatics, Saarbrücken, Germany",include,,on an institution directory here
Rebekka Burkholz,21,de-cispa-helmholtz-center;csrankings,,include,,on an institution directory here; no corroborating DBLP affiliation note
