name,core_papers,sources,dblp_current,status,reason_code,reason
Andreas Krause 0001,122,,"ETH Zurich, Switzerland|Carnegie Mellon University, Pittsburgh, PA, USA",exclude,E08,CSRankings files them at ETH Zurich (ch)
Sami Haddadin,116,,"Technical University Munich, Germany",queue,,current DBLP affiliation here but on no institution directory
Federico Tombari,111,de-mcml,,queue,,"on a local directory, but DBLP's current affiliation is Google"
Daniel Cremers,104,de-mcml;de-tu-munich;csrankings,"Technical University Munich, Germany",include,,on an institution directory here
Stephan Günnemann,94,de-mcml;de-tu-munich;csrankings,"Technical University of Munich, Germany",include,,on an institution directory here
Matthias Nießner,92,de-mcml;de-tu-munich;csrankings,"Technical University of Munich, Germany",include,,on an institution directory here
Nassir Navab,91,de-mcml;de-tu-munich;csrankings,"Technical University Munich, Germany",include,,on an institution directory here
Zeynep Akata,75,de-mcml;csrankings,"Technical University of Munich, Germany",include,,on an institution directory here
Hinrich Schütze,73,de-mcml;csrankings,"Ludwig Maximilian University of Munich, Center for Information and Language Processing, Germany",include,,on an institution directory here
Alexander G. Schwing,58,,"University of Illinois at Urbana-Champaign, IL, USA",exclude,E08,DBLP labels the affiliation former
Stefanie Jegelka,58,de-mcml;de-tu-munich;csrankings;csrankings,"TU Munich, Germany|Massachusetts Institute of Technology (MIT), CSAIL, Cambridge, MA, USA|University of California, Berk",include,,on an institution directory here
Eyke Hüllermeier,56,de-lmu-munich;de-mcml;csrankings,"LMU Munich, Germany",include,,on an institution directory here
Christian Rupprecht 0001,54,,"University of Oxford, Visual Geometry Group, UK|Johns Hopkins University, Computer Aided Medical Procedures, Baltimore, ",exclude,E02,DBLP records this as the PhD institution (2018)
Barbara Plank,52,de-mcml;csrankings,"LMU Munich, Germany|IT University of Copenhagen, Denmark",include,,on an institution directory here
Laura Leal-Taixé,51,csrankings,"Technical University of Munich, Department of Informatics, Germany|Leibniz University of Hannover, TNT, Germany",include,,on an institution directory here
Angela Dai,50,de-mcml;de-tu-munich;csrankings,"TU Munich, Germany",include,,on an institution directory here
Benjamin Busam,42,de-mcml,,include,,on an institution directory here; no corroborating DBLP affiliation note
Volker Tresp,42,de-lmu-munich;de-mcml;csrankings,"Ludwig Maximilian University of Munich, Germany",include,,on an institution directory here
Guang Chen 0001,41,,"Tongji University, School of Computer Science and Technology, Shanghai, China",exclude,E02,DBLP records this as the PhD institution (2016)
Björn Ommer,40,de-lmu-munich;de-mcml;csrankings,"LMU Munich, Germany",include,,on an institution directory here
Kai Huang 0001,36,,"Sun Yat-sen University, School of Data and Computer Science, Guangzhou, China|TU Munich, Faculty of Computer Science, Ge",exclude,E08,DBLP's primary current affiliation is Sun Yat-sen University; on none of the local directories
Zhenshan Bing,35,,"Technical University of Munich, Department of Computer Science, Germany|Harbin Institute of Technology, State Key Lab of",queue,,current DBLP affiliation here but on no institution directory
Justus Thies,35,,"TU Darmstadt, Germany",exclude,E08,CSRankings files them at TU Darmstadt (de)
Rudolph Triebel,35,,"TU Munich, Department of Informatics, Germany",queue,,current DBLP affiliation here but on no institution directory
Stefan Bauer,32,de-mcml;de-tu-munich;csrankings,,include,,on an institution directory here; no corroborating DBLP affiliation note
Stefan Leutenegger,30,csrankings,,include,,on an institution directory here; no corroborating DBLP affiliation note
Matthias Althoff,29,de-mcml;de-tu-munich;csrankings,,include,,on an institution directory here; no corroborating DBLP affiliation note
Stefan Feuerriegel,29,de-lmu-munich;de-mcml;csrankings,"Ludwig Maximilians University of Munich, Institute of AI in Management, Germany",include,,on an institution directory here
Suvrit Sra,28,de-mcml;de-tu-munich,,queue,,"on a local directory, but DBLP's current affiliation is Massachusetts Institute of Technology (MIT)"
David Rügamer,26,de-lmu-munich;de-mcml,,include,,on an institution directory here; no corroborating DBLP affiliation note
Bastian Rieck,24,,"University of Fribourg, Switzerland",exclude,E08,CSRankings files them at University of Fribourg (ch)
Wenpeng Yin 0001,24,,"Pennsylvania State University, PA, USA|Salesforce Research, Palo Alto, CA, USA|University of Pennsylvania, School of Eng",exclude,E02,DBLP records this as the PhD institution (2017)
Angela P. Schoellig,23,de-mcml;de-tu-munich;csrankings,"TU Munich, Germany|University of Toronto, Canada",include,,on an institution directory here
Jakob H. Macke,23,,"University of Tübingen, Germany",exclude,E08,CSRankings files them at University of Tübingen (de)
