name,ruling,reason_code,tier,city_if_elsewhere,reason,evidence_confidence,evidence_url
Alexander Keller 0001,exclude,E15,,,"NVIDIA's own biography explicitly frames the Ulm University professorship in the past tense; no current academic title (honorary or otherwise) was found. His only current post is industry (NVIDIA Berlin), which excludes him under the project's rules regardless of city.",high,https://research.nvidia.com/person/alex-keller
Alexander Löser,include,,T3,,"COVERAGE GAP -- BHT is not among the six collected Berlin rosters. Beuth Hochschule did not merge into HTW Berlin as the task brief assumed; a planned 2020 Beuth-HTW merger fell through and Beuth was instead renamed Berliner Hochschule für Technik (BHT) in 2021. He is a full, habilitated professor there, unambiguously independent; his TU Berlin/DIMA tie (on DBLP) looks secondary or stale -- he is ",high,http://prof.bht-berlin.de/loeser/
Alexander Martin 0006,exclude,E08,,"Rochester, USA","NOT THE SAME PERSON, and Berlin should not count this row for two independent reasons. First, Alexander Martin 0006 (ORCID 0000-0002-8863-4002) is at the University of Rochester and works on multimodal and video retrieval and RAG - MultiVENT 2.0, contextualised late-interaction video retrieval, multi-vector index compression - frequently with Johns Hopkins co-authors; the 3 core papers are his. ZI",high,https://www.zib.de/node/7159 ; https://dblp.org/pid/352/3194.html ; https://dblp.org/pid/72/2174-1 ; https://www.zib.de/members
Cheng Wang 0002,exclude,E15,,,"His PhD (Hasso-Plattner-Institute/Univ. of Potsdam, 2017) is a past credential; NEC Laboratories Europe (Heidelberg, per DBLP) was a prior job superseded by the current Amazon Berlin post. No current university appointment found; industry-only post excludes him.",high,https://ieeexplore.ieee.org/author/37088461883; https://deepsemantic.github.io/
Christian Wressnegger,exclude,E08,,"Karlsruhe, Germany","BIFOLD's own roster lists him as ""Prof. Dr., Fellow"" with primary_affiliation KIT. Per this project's rule, BIFOLD Junior Fellow status alone doesn't establish a Berlin position; no substantive Berlin appointment was found. His sole current post is KIT Karlsruhe, matching DBLP.",high,https://intellisec.de/chris/; https://www.bifold.berlin/people/prof-dr-christian-wressnegger.html
Christoph Spiegel 0002,include,,T3,,"COVERAGE GAP -- ZIB is not among the six collected Berlin rosters. He holds real leadership (named Deputy Head plus his own group lead title), which is why this is scored independent, but he also self-describes as part of Sebastian Pokutta's IOL lab, so his autonomy is not complete -- a borderline call. No current TU Berlin employment beyond occasional guest lectures.",medium,http://christophspiegel.berlin/; https://www.zib.de/research/mai/ais2t
Dagmar Kainmüller,include,,T3,,"COVERAGE GAP -- MDC is not among the six collected Berlin rosters (nor is it one of the four institutions the task named explicitly, but the same gap logic applies). She unambiguously heads her own independent lab at MDC, sits on the MDC Scientific Council, and is Helmholtz Imaging Spokesperson. Her secondary Potsdam professorship doesn't affect her Berlin status. A possible additional HU Berlin P",high,https://www.mdc-berlin.de/person/prof-dr-dagmar-kainmuller; https://helmholtz-imaging.de
Danh Le Phuoc,include,,T3,,"His CV confirms an independent DFG-funded PI position at TU Berlin since Oct 2020, leading his own lab with DFG and EU Horizon grants and his own postdocs/PhD students -- unambiguously independent. He is absent from the EECS-scraped roster because PICOM sits under Faculty IV outside the specific pages that scrape covered -- a roster-coverage gap within TU Berlin itself, not a reason for exclusion.",high,https://danhlephuoc.info/CV__Danh_Le_Phuoc.pdf
David Schlangen,exclude,E08,,"Potsdam, Germany","ORCID's employment record shows exactly one entry -- Professor, University of Potsdam, since 1 Apr 2019, no end date -- and no DFKI employment was ever recorded. DFKI Berlin's professors overview page lists him under Berlin, but that page reads as a cross-institutional networking directory rather than evidence of a substantive Berlin post. Potsdam is a different city from Berlin in this project's ",high,https://www.ling.uni-potsdam.de/~das/; https://pub.orcid.org/v3.0/0000-0002-2686-6887/employments
Frank Neumann 0001,exclude,E08,,Adelaide,"NOT THE SAME PERSON - and, more than that, the two Berlin rosters that produced this hit name two further different men. Frank Neumann 0001 is the Adelaide evolutionary-computation professor (GECCO / Algorithmica / ACM TELO 2025-26: cliff functions, traveling thief problem, evolutionary diversity optimisation), and the 9 core papers are his. BHT's Frank Neumann is ""Prof. Dr.-Ing. Frank Neumann"", P",high,https://www.adelaide.edu.au/directory/frank.neumann ; https://dblp.org/pid/n/FrankNeumann.html ; https://prof.bht-berlin.de/neumann ; https://www.htw-berlin.de/hochschule/personen/person/?id=9685
Frank Schneider 0001,exclude,E08,,Tuebingen,"NOT THE SAME PERSON. Frank Schneider 0001 carries the DBLP affiliation ""University of Tuebingen, Germany"" and works on machine-learning optimisation and hyperparameter methods; the 7 core papers are his. He has already been adjudicated in this same run's tuebingen.csv, where he is a postdoc in Philipp Hennig's Methods of Machine Learning group and ruled independent=no. BHT's Frank Schneider is a d",high,https://fsschneider.github.io/ ; https://dblp.org/pid/41/328-1 ; https://prof.bht-berlin.de/schneider ; https://www.bht-berlin.de/people/detail/1101
Georg Loho,include,,T3,,"COVERAGE GAP -- FU Berlin's math department wasn't captured by the informatics-focused roster pass. He is actively running the group day-to-day as a substitute professor, not a passive/honorary visitor, so this counts as independent under the project's rules, though the appointment is formally temporary and he remains employed (on leave) at Twente -- flagged as a judgment call.",high,https://lohomath.github.io/; https://www.mi.fu-berlin.de/math/groups/discgeom/members/02loho.html
Johannes Fischer 0007,exclude,E08,,Karlsruhe,"NOT THE SAME PERSON. Johannes Fischer 0007 (ORCID 0000-0002-4764-5530) is at KIT and works on autonomous driving and motion planning - SRMPC, ConstrainedZero, test-driven inverse RL, driver-model parameter estimation, at ICRA / IJCAI / ITSC / IV 2023-25 - and the 4 core papers are his. Fraunhofer HHI's Johannes Fischer heads HHI's Digital Signal Processing group and is a separate DBLP entity, ""Joh",high,https://www.hhi.fraunhofer.de/en/departments/pn/people-and-contact.html ; https://dblp.org/pid/262/8940-7.html ; https://dblp.org/pid/244/9579.html
Julia Stoyanovich,exclude,E08,,"New York, USA","BIFOLD's own roster lists her only as ""Prof., Fellow"" with primary_affiliation NYU Tandon. Per this project's rule, BIFOLD is a virtual centre, not an employer -- Fellow status alone doesn't establish a Berlin position, and no other Berlin appointment was found. Her sole substantive post is NYU, matching DBLP.",high,https://engineering.nyu.edu/faculty/julia-stoyanovich; https://www.bifold.berlin/people/julia-stoyanovich.html
Karsten Müller 0001,exclude,E15,,,"Group leader inside HHI's AI Department (headed by someone else), not the department head; no current university professorship found (his TU Berlin Dipl.-Ing./Dr.-Ing. are historical). Same HHI coverage-gap caveat as Lapuschkin, but title alone doesn't clear the independence bar.",medium,https://iphome.hhi.de/mueller/index.htm
Matthias W. Seeger,exclude,E15,,,"EPFL (per DBLP) reads as a prior position everywhere it's mentioned, not current. No active academic title found; industry-only post in Berlin excludes him.",medium,https://scholar.google.com (profile); https://de.linkedin.com/in/matthias-seeger-3010b765
Nicole Mücke,exclude,E08,,"Braunschweig, Germany","MATH+'s own alumni page confirms she led an independent MATH+ Junior Research Group at TU Berlin from 03/2020-06/2021 before relocating; TU Berlin's math site no longer lists her, and her current preprint affiliation is Braunschweig. Her exact current rank there could not be confirmed (TU Braunschweig's IMAS staff pages 404'd), but ""independent"" is the best-evidence call given her JRG track record",medium,arXiv:2506.16283 (title page); https://mathplus.de/early-career-researchers/independent-junior-research-groups/
Pascal Kunz 0001,exclude,E15,,,"M.Sc. title plus membership in a DFG-funded doctoral training programme confirms doctoral-student status -- correctly excluded. The dual TU/HU Berlin listing reflects the training programme's cross-institutional structure, not an independent post.",high,https://www.mi.fu-berlin.de/en/facetsofcomplexity/people/postdoctoral-and-doctorals/2-Kunz/index.html; https://www.tu.berlin/akt
Patrick Haller 0002,exclude,E15,,,"Self-described PhD student, correctly excluded. HU Berlin's own site sits behind bot protection so the ""Akbik lab"" attribution rests on coauthor-pattern inference rather than a direct staff-page hit.",medium,https://hallerpatrick.github.io; https://dblp.uni-trier.de/pid/302/4394-2
Robert A. Vandermeulen,exclude,E13,,,"ORCID confirms his TU Berlin postdoc (Institute of Software Engineering & Theoretical CS / BIFOLD) ran Feb 2020-30 Jun 2024 and has ended; DBLP's TU Berlin affiliation is stale. Still publishes with former TU Berlin colleagues and appears to remain personally Berlin-based, but holds no institutional appointment there or anywhere, so he doesn't qualify regardless of city.",medium,https://ravdm.github.io/; https://pub.orcid.org/v3.0/0000-0001-6863-7006/employments
Robin Chan 0001,exclude,E15,,,"ORCID confirms TU Berlin employment since 1 Apr 2023 with no end date (current); his concurrent Bielefeld University postdoc ended 30 Jun 2024, so TU Berlin is his sole current post, matching DBLP's primary listing. He remains a postdoc per his own site and ORCID, so postdocs-excluded applies regardless of city.",medium,https://robinchan.de/; https://pub.orcid.org/v3.0/0000-0003-2935-3275/employments
Roland Roller,exclude,E15,,,"Absent from DFKI Berlin's own professors listing and not named as leader of any of the department's five sub-groups; his own bio calls him ""senior researcher and project manager"" -- staff inside Möller's department, not independent. His guest-researcher tie to Charité is not a substantive appointment, and Charité is itself one of the project's uncollected Berlin institutions.",medium,https://dfki-nlp.github.io/author/roland-roller/; https://ai.berlin/news/detail/dr-roland-roller-dfki
Ronny Hänsch,exclude,E08,,"Oberpfaffenhofen (Munich area), Germany","He is absent from TU Berlin's current RSiM group roster (the group's 2007-2018-era successor, now led by Begüm Demir). His own site places him at DLR's SAR Technology department near Munich, not Berlin. DBLP's TU Berlin tag is stale. Postdoc title (despite a team-lead role) doesn't clear the independence bar in any case.",medium,http://www.rhaensch.de/
